,pre_estimators,estimator,score_train,score_test,execution_time
0,"[VarianceThreshold(), SelectKBest(k=7)]",[Lasso(alpha=9.646788780328336)],0.5209174696967254,0.5458356788174752,0.7388043403625488
1,"[SelectKBest(k=7), VarianceThreshold()]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8018525953426371,0.7090698097682417,0.8782825469970703
2,"[VarianceThreshold(), SelectKBest(k=7)]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.7222768369030663,0.7065985792406414,0.8029463291168213
3,[SelectKBest(k=7)],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.718279415272487,0.7066577169187682,0.7152657508850098
4,[SelectKBest(k=7)],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.752583682753764,0.7296340221287514,0.9154493808746338
5,"[SelectKBest(k=7), VarianceThreshold()]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8098251356840052,0.7142308788921273,0.7959897518157959
6,[VarianceThreshold()],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8195586571459768,0.723616628996295,0.8198983669281006
7,[SelectKBest(k=7)],[Lasso(alpha=9.646788780328336)],0.0,-8.263706832156714e-07,0.279970645904541
8,"[SelectKBest(k=7), VarianceThreshold()]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.808469363055706,0.7079226564896481,0.9208552837371826
9,[VarianceThreshold()],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.7375968838151389,0.714550746076795,1.073105812072754
10,"[VarianceThreshold(), SelectKBest(k=7)]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.7675890835777969,0.7284338136286883,0.6885716915130615
11,"[VarianceThreshold(), SelectKBest(k=7)]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8361964657341519,0.7362215695499857,0.7843563556671143
12,"[VarianceThreshold(), SelectKBest(k=7)]",[Lasso(alpha=9.646788780328336)],0.5280576269832142,0.5650891576814681,0.30336856842041016
13,"[SelectKBest(k=7), VarianceThreshold()]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8100489695405513,0.7086394239880792,0.7642226219177246
14,[VarianceThreshold()],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8140412298515374,0.714794722891269,0.7585330009460449
15,[VarianceThreshold()],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.7443310072277303,0.7149553350461315,0.800142765045166
16,[VarianceThreshold()],[Lasso(alpha=9.646788780328336)],0.4735643087595872,0.48677673285568535,0.27575254440307617
17,"[SelectKBest(k=7), VarianceThreshold()]",[Lasso(alpha=9.646788780328336)],0.47432072309344464,0.49739950700412106,0.3784341812133789
18,"[SelectKBest(k=7), VarianceThreshold()]",[Lasso(alpha=9.646788780328336)],0.44711893107873246,0.4694935377888788,0.29082393646240234
19,"[VarianceThreshold(), SelectKBest(k=7)]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.7883376568773945,0.7058679339142455,0.6243696212768555
20,"[SelectKBest(k=7), VarianceThreshold()]",[Lasso(alpha=9.646788780328336)],0.4416384823104469,0.463773392819527,0.42536330223083496
21,"[VarianceThreshold(), SelectKBest(k=7)]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8019126808309635,0.7037493233913461,0.7713015079498291
22,"[VarianceThreshold(), SelectKBest(k=7)]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8111890100819533,0.7038939822715766,0.6924216747283936
23,[VarianceThreshold()],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8168415897852538,0.7218555653025123,0.8177242279052734
24,[SelectKBest(k=7)],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.7863529616108756,0.713454164447079,0.7129664421081543
25,"[VarianceThreshold(), SelectKBest(k=7)]",[Lasso(alpha=9.646788780328336)],0.0,-8.263706832156714e-07,0.27349209785461426
26,"[SelectKBest(k=7), VarianceThreshold()]",[Lasso(alpha=9.646788780328336)],0.0,-8.263706832156714e-07,0.3386251926422119
27,"[SelectKBest(k=7), VarianceThreshold()]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8119616672287542,0.724819201086867,0.707758903503418
28,"[SelectKBest(k=7), VarianceThreshold()]",[Lasso(alpha=9.646788780328336)],0.23993880289224578,0.10767420443103726,0.3161196708679199
29,[VarianceThreshold()],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.8305553898442467,0.7344709956560469,0.7913131713867188
30,[SelectKBest(k=7)],"[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.7566004138989982,0.7184556602219011,0.7223052978515625
31,[SelectKBest(k=7)],[Lasso(alpha=9.646788780328336)],-2.740744919884048,-2.8448167485626805,0.30417704582214355
32,"[VarianceThreshold(), SelectKBest(k=7)]","[RandomForestRegressor(criterion='mae', max_depth=3, min_samples_leaf=28,
                      n_estimators=62, n_jobs=-1)]",0.7309600788595038,0.7100815944527751,0.6422030925750732
33,[VarianceThreshold()],[Lasso(alpha=9.646788780328336)],0.5372057150726743,0.5317973749841313,0.30820703506469727
